recency_bin,comparison,outcome,estimate,se,ci_low,ci_high,n_treatment,n_comparison,mean_treatment,mean_comparison,spend_variable,winsor_cutoff
Warm,Mens E-Mail minus No E-Mail,spend_w99,0,0,0,0,7469,7438,0,0,spend_w99,0
Warm,Womens E-Mail minus No E-Mail,spend_w99,0,0,0,0,7486,7438,0,0,spend_w99,0
Warm,Mens E-Mail minus Womens E-Mail,spend_w99,0,0,0,0,7469,7486,0,0,spend_w99,0
Cooling,Mens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4673,4766,0,0,spend_w99,0
Cooling,Womens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4753,4766,0,0,spend_w99,0
Cooling,Mens E-Mail minus Womens E-Mail,spend_w99,0,0,0,0,4673,4753,0,0,spend_w99,0
Dormant,Mens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4688,4699,0,0,spend_w99,0
Dormant,Womens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4627,4699,0,0,spend_w99,0
Dormant,Mens E-Mail minus Womens E-Mail,spend_w99,0,0,0,0,4688,4627,0,0,spend_w99,0
Very dormant,Mens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4477,4403,0,0,spend_w99,0
Very dormant,Womens E-Mail minus No E-Mail,spend_w99,0,0,0,0,4521,4403,0,0,spend_w99,0
Very dormant,Mens E-Mail minus Womens E-Mail,spend_w99,0,0,0,0,4477,4521,0,0,spend_w99,0
